x,y,z,u,v,nx,ny,nz
-102.2364401,2.16142311,-76.09090022,0.4793,0.3171,0.0,0.0,0.0
-19.748087,35.66556324,-102.74727016,0.9118,0.153,0.0,0.0,0.0
-21.02568956,45.3140317,-97.24207856,0.9075,0.1393,0.0,0.0,0.0
-13.11746103,44.49544493,-97.15738172,0.9171,0.1384,0.0,0.0,0.0
79.96346284,2.29466657,-90.21311312,0.08,0.5404,0.0,0.0,0.0
84.52657558,1.25396374,-84.23188545,0.0824,0.5492,0.0,0.0,0.0
76.76671423,1.62361125,-81.31877093,0.0723,0.5495,0.0,0.0,0.0
-84.47116057,4.91608894,-91.25735325,0.4935,0.3418,0.0,0.0,0.0
-77.60359422,6.07360583,-94.59875032,0.4959,0.3496,0.0,0.0,0.0
-73.67514072,6.02602285,-90.01472312,0.4891,0.3541,0.0,0.0,0.0
-41.05506303,182.02218155,89.84261699,0.1052,0.9564,0.0,0.0,0.0
-41.35548738,175.93738088,90.29355093,0.1122,0.953,0.0,0.0,0.0
-35.07142429,177.77669585,89.88243933,0.1143,0.9614,0.0,0.0,0.0
18.95264533,305.98742628,17.99648668,0.7737,0.7873,0.0,0.0,0.0
20.50961899,305.56320447,23.5523445,0.7732,0.794,0.0,0.0,0.0
23.21723918,304.66232004,18.57279241,0.7694,0.7887,0.0,0.0,0.0
7.7665711,0.35508986,-83.45510779,0.6131,0.5281,0.0,0.0,0.0
14.73676665,-2.03405267,-81.83886458,0.6088,0.5355,0.0,0.0,0.0
5.01519571,-1.84796389,-82.77842928,0.6108,0.5244,0.0,0.0,0.0
-11.04115907,-129.09461045,-82.9734406,0.4617,0.48,0.0,0.0,0.0
-7.52309693,-105.66487372,-82.84470204,0.4896,0.4895,0.0,0.0,0.0
-5.9711541,-140.11865111,-82.92150738,0.4476,0.4838,0.0,0.0,0.0
42.86281992,234.00419994,78.50738145,0.777,0.923,0.0,0.0,0.0
45.50755197,236.03291098,74.90020332,0.7709,0.9199,0.0,0.0,0.0
40.26586121,237.43363288,78.81687905,0.7801,0.9182,0.0,0.0,0.0
58.4699757,155.38130909,-27.63561818,0.3971,0.9876,0.0,0.0,0.0
55.14450836,156.09850789,-30.59302029,0.3899,0.989,0.0,0.0,0.0
57.28810619,155.91705885,-32.57857591,0.3893,0.986,0.0,0.0,0.0
-50.91190286,-97.45299979,-23.31546856,0.5196,0.3726,0.0,0.0,0.0
-50.92883985,-101.92231864,-19.96774638,0.516,0.3662,0.0,0.0,0.0
-50.89909007,-101.73019426,-13.25404747,0.5192,0.3577,0.0,0.0,0.0
-50.66828939,-96.86425403,-6.70356487,0.5283,0.3513,0.0,0.0,0.0
17.47658139,-97.40325556,-78.43940349,0.4934,0.5236,0.0,0.0,0.0
22.78827256,-111.42084855,-76.74965431,0.4749,0.5273,0.0,0.0,0.0
15.86676837,-126.79054545,-79.11044295,0.4586,0.5142,0.0,0.0,0.0
